Hebrew,English,KedushaHe,NoKedushaHe,SefihinHe,NoSefihinHe,BiurHe,KedushaEn,NoKedushaEn,SefihinEn,NoSefihinEn,BiurEn,Type,Kedusha,NoKedusha,Sefihin,NoSefihin,Biur
בטטה,Sweet potato,ד תשרי,חנוכה תשע”ו,כז סיון,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,27 Sivan,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,27 Sivan 5775,25 Kislev 5776,None
בטנים,Peanut,כ אלול,כ אלול תשע”ו,כ אלול,כ אלול תשע”ו,אמצע כסלו תשע”ו,20 Elul,20 Elul 5776,20 Elul,20 Elul 5776,Mid Kislev 5776,vegetable,20 Elul 5775,20 Elul 5776,20 Elul 5775,20 Elul 5776,10 Kislev 5776
במיה,Okra,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
בננה,Banana,ז תשרי,לא ידוע,אין,אין,אין,7 Tishrei,Unknown,None,None,None,fruit,7 Tishrei 5775,1 Tishrei 6000,None,None,None
בצל יבש,Onion – dry,ה טבת,כד אדר תשע”ו,ה אדר,כד אדר תשע”ו,אין,5 Tevet,24 Adar 5776,5 Adar,24 Adar 5776,None,vegetable,5 Tevet 5775,24 Adar 5776,5 Adar 5775,24 Adar 5776,None
בצל ראש,Onion head,ד כסלו,יז טבת תשע”ו,ה טבת,יז טבת תשע”ו,אין,4 Kislev,17 Tevet 5776,5 Tevet,17 Tevet 5776,None,vegetable,4 Kislev 5775,17 Tevet 5776,5 Tevet 5775,17 Tevet 5776,None
בצל ירוק,Onion – green,ד תשרי,י כסלו תשע”ו,א כסלו,י כסלו תשע”ו,אין,4 Tishrei,10 Kislev 5776,1 Kislev,10 Kislev 5776,None,vegetable,4 Tishrei 5775,10 Kislev 5776,1 Kislev 5775,10 Kislev 5776,None
ברוקולי,Broccoli,ד תשרי,חנוכה תשע”ו,טו שבט,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,15 Shvat,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,15 Shvat 5775,25 Kislev 5776,None
גזר,Carrot,יז תשרי,חנוכה תשע”ו,א שבט,חנוכה תשע”ו,יד אב (תשע”ה),17 Tishrei,Hanukah 5776,1 Shvat,Hanukah 5776,14 Av (5775),vegetable,17 Tishrei 5775,25 Kislev 5776,1 Shvat 5775,25 Kislev 5776,14 Av 5775
גמבה,Pepper – bell pepper,ד תשרי,חנוכה תשע”ו,א טבת,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Tevet,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Tevet 5775,25 Kislev 5776,None
ברעיני אבטיח,Watermelon seeds,א אלול,כ אלול תשע”ו,א אלול,כ אלול תשע”ו,אמצע כסלו תשע”ו,1 Elul,20 Elul 5776,1 Elul,20 Elul 5776,Mid Kislev 5776,vegetable,1 Elul 5775,20 Elul 5776,1 Elul 5775,20 Elul 5776,10 Kislev 5776
גרעיני דלעת,Gourd/pumpkin seeds,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
גרעיני חמניות,Sunflower seeds,א אלול,כ אלול תשע”ו,א אלול,כ אלול תשע”ו,אמצע כסלו תשע”ו,1 Elul,20 Elul 5776,1 Elul,20 Elul 5776,Mid Kislev 5776,vegetable,1 Elul 5775,20 Elul 5776,1 Elul 5775,20 Elul 5776,10 Kislev 5776
דלורית,Squash [butternut],ד תשרי,א אב תשע”ו,י תמוז,א אב תשע”ו,"ראה”ש תשע""ו",4 Tishrei,1 Av 5776,10 Tammuz,1 Av 5776,Rosh Hashana 5776,vegetable,4 Tishrei 5775,1 Av 5776,10 Tammuz 5775,1 Av 5776,3 Tishrei 5776
דלעת,Squash [pumpkin],ד תשרי,טו אב תשע”ו,א אלול,טו אב תשע”ו,"ראה”ש תשע""ו",4 Tishrei,15 Av 5776,1 Elul,15 Av 5776,Rosh Hashana 5776,vegetable,4 Tishrei 5775,15 Av 5776,1 Elul 5775,15 Av 5776,3 Tishrei 5776
הל,Cardamom,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
זנגויל,Ginger,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
חומוס,Chickpea/humus,א תמוז,א תמוז תשע”ו,א תמוז,א תמוז תשע”ו,אין,1 Tammuz,1 Tammuz 5776,1 Tammuz,1 Tammuz 5776,None,vegetable,1 Tammuz 5775,1 Tammuz 5776,1 Tammuz 5775,1 Tammuz 5776,None
חזרת,Horseradish,ד תשרי,חנוכה תשע”ו,ד תשרי,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,4 Tishrei,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,4 Tishrei 5775,25 Kislev 5776,None
חוויג',Hawaij,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
חיטה,Wheat,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
חילבה,Fenugreek,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
חסה,Lettuce,ד תשרי,י חשון תשע”ו,י חשון,י חשון תשע”ו,אין,4 Tishrei,10 Heshvan 5776,10 Heshvan,10 Heshvan 5776,None,vegetable,4 Tishrei 5775,10 Heshvan 5776,10 Heshvan 5775,10 Heshvan 5776,None
חציל,Eggplant,ד תשרי,א כסלו תשע”ו,א כסלו,א כסלו תשע”ו,אין,4 Tishrei,1 Kislev 5776,1 Kislev,1 Kislev 5776,None,vegetable,4 Tishrei 5775,1 Kislev 5776,1 Kislev 5775,1 Kislev 5776,None
חרדל – טחון,Mustard (ground),אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
טרגון,Tarragon,ד תשרי,שבט תשע”ו,אין,אין,אין,4 Tishrei,Shvat 5776,None,None,None,vegetable,4 Tishrei 5775,1 Shvat 5776,None,None,None
כוסברה,Coriander,ד תשרי,י כסלו תשע”ו,א כסלו,י כסלו תשע”ו,אין,4 Tishrei,10 Kislev 5776,1 Kislev,10 Kislev 5776,None,vegetable,4 Tishrei 5775,10 Kislev 5776,1 Kislev 5775,10 Kislev 5776,None
כוסמת,Buckwheat,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
כורכום,Turmeric,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
כמהין,Fancy mushrooms,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
כמון,Cumin,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
כרוב אדום,Cabbage – red,ד תשרי,חנוכה תשע”ו,א טבת,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Tevet,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Tevet 5775,25 Kislev 5776,None
כרוב לבן,Cabbage – white,ד תשרי,חנוכה תשע”ו,טו כסלו,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,15 Kislev,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,15 Kislev 5775,25 Kislev 5776,None
כרוב סיני,Napa (Chinese) cabbage,ד תשרי,כ כסלו תשע”ו,י כסלו,כ כסלו תשע”ו,אין,4 Tishrei,20 Kislev 5776,10 Kislev,20 Kislev 5776,None,vegetable,4 Tishrei 5775,20 Kislev 5776,10 Kislev 5775,20 Kislev 5776,None
כרובית,Cauliflower,ד תשרי,חנוכה תשע”ו,א טבת,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Tevet,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Tevet 5775,25 Kislev 5776,None
כרפס – סלרי,Celery,ד תשרי,חנוכה תשע”ו,י טבת,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,10 Tevet,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,10 Tevet 5775,25 Kislev 5776,None
כרפס – שורש,Celery leaves,ד תשרי,חנוכה תשע”ו,כ טבת,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,20 Tevet,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,20 Tevet 5775,25 Kislev 5776,None
כרתי – לוף,Luf plant,ד תשרי,חנוכה תשע”ו,א שבט,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Shvat,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Shvat 5775,25 Kislev 5776,None
לואיזה,Lemon verbena (Aloysia),יד תשרי,כסלו תשע”ו,אין,אין,אין,14 Tishrei,Kislev 5776,None,None,None,vegetable,14 Tishrei 5775,1 Kislev 5776,None,None,None
לוביא טריה בתרמיל,Black eyed bean – in pods,ד תשרי,חנוכה תשע”ו,כז סיון,חנוכה תשע”ו,לא ידוע,4 Tishrei,Hanukah 5776,27 Sivan,Hanukah 5776,Unknown,vegetable,4 Tishrei 5775,25 Kislev 5776,27 Sivan 5775,25 Kislev 5776,1 Tishrei 6000
לוביא גרגרים,Black eyed bean – dry,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
לימונית – עשב לימון,Lemongrass,ד תשרי,כסלו תשע”ו,אין,אין,אין,4 Tishrei,Kislev 5776,None,None,None,vegetable,4 Tishrei 5775,1 Kislev 5776,None,None,None
לפת,Turnip,ד תשרי,י כסלו תשע”ו,א כסלו,י כסלו תשע”ו,אין,4 Tishrei,10 Kislev 5776,1 Kislev,10 Kislev 5776,None,vegetable,4 Tishrei 5775,10 Kislev 5776,1 Kislev 5775,10 Kislev 5776,None
מילון,Melon,ד תשרי,חנוכה תשע”ו,א כסלו,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Kislev,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Kislev 5775,25 Kislev 5776,None
מליסה,Melissa (lemon balm),ד תשרי,כסלו תשע”ו,אין,אין,אין,4 Tishrei,Kislev 5776,None,None,None,vegetable,4 Tishrei 5775,1 Kislev 5776,None,None,None
מלפפון,Cucumber,ד תשרי,כה חשון תשע”ו,יד חשון,כה חשון תשע”ו,אין,4 Tishrei,25 Heshvan 5776,14 Heshvan,25 Heshvan 5776,None,vegetable,4 Tishrei 5775,25 Heshvan 5776,14 Heshvan 5775,25 Heshvan 5776,None
מרווה,Sage,ד תשרי,כסלו תשע”ו,אין,אין,אין,4 Tishrei,Kislev 5776,None,None,None,vegetable,4 Tishrei 5775,1 Kislev 5776,None,None,None
נבטים,Bean sprouts,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
נענע,Mint,ד תשרי,לא ידוע,אין,אין,אין,4 Tishrei,Unknown,None,None,None,vegetable,4 Tishrei 5775,1 Tishrei 6000,None,None,None
סויה,Soy,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
סלק אדום,Beet root,ד תשרי,י כסלו תשע”ו,א כסלו,י כסלו תשע”ו,אין,4 Tishrei,10 Kislev 5776,1 Kislev,10 Kislev 5776,None,vegetable,4 Tishrei 5775,10 Kislev 5776,1 Kislev 5775,10 Kislev 5776,None
סלק עלים,Chard,ד תשרי,יח כסלו תשע”ו,א כסלו,יח כסלו תשע”ו,אין,4 Tishrei,18 Kislev 5776,1 Kislev,18 Kislev 5776,None,vegetable,4 Tishrei 5775,18 Kislev 5776,1 Kislev 5775,18 Kislev 5776,None
עגבניה,Tomato,ד תשרי,חנוכה תשע”ו,י כסלו,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,10 Kislev,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,10 Kislev 5775,Hanukah 5776,None
עדשים,Lentils,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
עולש,Endive,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
עירית,Chives,ד תשרי,ד כסלו תשע”ו,כ חשון,ד כסלו תשע”ו,אין,4 Tishrei,4 Kislev 5776,20 Heshvan,4 Kislev 5776,None,vegetable,4 Tishrei 5775,4 Kislev 5776,20 Heshvan,4 Kislev 5776,None
עלי דפנה – יבשים,Laurel – dry leaves,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
פאפיה,Papaya,ד תשרי,לא ידוע,אין,אין,א אב תשע”ה,4 Tishrei,Unknown,None,None,1 Av (5775),fruit,4 Tishrei 5775,1 Tishrei 6000,None,None,1 Av 5775
פול – בתרמיל,Broad bean in pods,ד תשרי,חנוכה תשע”ו,ה טבת,חנוכה תשע”ו,א תמוז תשע”ה,4 Tishrei,Hanukah 5776,5 Tevet,Hanukah 5776,1 Tammuz (5775),vegetable,4 Tishrei 5775,25 Kislev 5776,5 Tevet 5775,Hanukah 5776,1 Tammuz 5775
"פול – גרגרים, יבש",Broad beans – dried,א תמוז,א תמוז תשע”ו,א תמוז,א תמוז תשע”ו,אמצע כסלו תשע”ו,1 Tammuz,1 Tammuz 5776,1 Tammuz,1 Tammuz 5776,Mid Kislev 5776,vegetable,1 Tammuz 5775,1 Tammuz 5776,1 Tammuz 5775,1 Tammuz 5776,10 Kislev 5776
פופקורן,Popcorn,א אב,א אב תשע”ו,א אב,א אב תשע”ו,אמצע כסלו תשע”ו,1 Av,1 Av 5776,1 Av,1 Av 5776,Mid Kislev 5776,vegetable,1 Av 5775,1 Av 5776,1 Av 5775,1 Av 5776,10 Kislev 5776
פטרוזיליה,Parsley,ד תשרי,א כסלו תשע”ו,א כסלו,א כסלו תשע”ו,אין,4 Tishrei,1 Kislev 5776,1 Kislev,1 Kislev 5776,None,vegetable,4 Tishrei 5775,1 Kislev 5776,1 Kislev 5775,1 Kislev 5776,None
פטרוזיליה – שורש,Parsley roots,ד תשרי,חנוכה תשע”ו,א שבט,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Shvat,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Shvat 5775,Hanukah 5776,None
פטריות,Mushrooms,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
פלפל,Pepper,ד תשרי,חנוכה תשע”ו,ה כסלו,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,5 Kislev,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,5 Kislev 5775,Hanukah 5776,None
פלפל חריף,Hot pepper,ד תשרי,חנוכה תשע”ו,א שבט,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Shvat,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Shvat 5775,Hanukah 5776,None
פלפל שחור/לבן,Pepper – black/white,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
פפריקה,Paprika,ד תשרי,א אלול תשע”ו,א אלול,א אלול תשע”ו,"ראה”ש תשע""ו",4 Tishrei,1 Elul 5776,1 Elul,1 Elul 5776,Rosh Hashana 5776,vegetable,4 Tishrei 5775,1 Elul 5776,1 Elul 5775,1 Elul 5776,3 Tishrei 5776
פרג,Poppy,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
צ'יוטה,Chayote,ד תשרי,חנוכה תשע”ו,א כסלו,חנוכה תשע”ו,אין,4 Tishrei,Hanukah 5776,1 Kislev,Hanukah 5776,None,vegetable,4 Tishrei 5775,25 Kislev 5776,1 Kislev 5775,Hanukah 5776,None
ציפורן,Cloves,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
צלף,Caper,א תמוז,תחילת סיון תשע”ו,אין,אין,א טבת תשע”ו,1 Tammuz,Begin Sivan 5776,None,None,1 Tevet 5776,vegetable,1 Tammuz 5775,1 Sivan 5776,None,None,1 Tevet 5776
צנון,Radish,ד תשרי,א כסלו תשע”ו,כ חשון,א כסלו תשע”ו,אין,4 Tishrei,1 Kislev 5776,20 Heshvan,1 Kislev 5776,None,vegetable,4 Tishrei 5775,1 Kislev 5776,20 Heshvan 5775,1 Kislev 5776,None
צנונית,Radish (small-tznunit),ד תשרי,ה חשון תשע”ו,א חשון,ה חשון תשע”ו,אין,4 Tishrei,5 Heshvan 5776,1 Heshvan,5 Heshvan 5776,None,vegetable,4 Tishrei 5775,5 Heshvan 5776,1 Heshvan 5775,5 Heshvan 5776,None
קולורבי,Kohlrabi,ד תשרי,ה כסלו תשע”ו,א כסלו,ה כסלו תשע”ו,אין,4 Tishrei,5 Kislev 5776,1 Kislev,5 Kislev 5776,None,vegetable,4 Tishrei 5775,5 Kislev 5776,1 Kislev 5775,5 Kislev 5776,None
קינמון,Cinnamon,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
קישוא,Zucchini,ד תשרי,טו חשון תשע”ו,י חשון,טו חשון תשע”ו,אין,4 Tishrei,15 Heshvan 5776,10 Heshvan,15 Heshvan 5776,None,vegetable,4 Tishrei 5775,15 Heshvan 5776,10 Heshvan 5775,15 Heshvan 5776,None
רוזמרין,Rosemary,יד תשרי,סיון תשע”ו,אין,אין,אין,14 Tishrei,Sivan 5776,None,None,None,vegetable,14 Tishrei 5775,1 Sivan 5776,None,None,None
שבולת שועל,Oats,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
שום,Garlic,כ אדר,כ אדר תשע”ו,ז ניסן,כ אדר תשע”ו,א אב תשע”ה,20 Adar,20 Adar 5776,7 Nissan,20 Adar 5776,1 Av (5775),vegetable,20 Adar 5775,20 Adar 5776,7 Nissan 5775,20 Adar 5776,1 Av 5775
שומשום,Sesame,אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
שומר,Fennel,ד תשרי,ה כסלו תשע”ו,א כסלו,ה כסלו תשע”ו,כח תמוז תשע”ה,4 Tishrei,5 Kislev 5776,1 Kislev,5 Kislev 5776,28 Tammuz (5775),vegetable,4 Tishrei 5775,5 Kislev 5776,1 Kislev 5775,5 Kislev 5776,28 Tammuz 5775
שמיר,Dill,ד תשרי,כ חשון תשע”ו,י חשון,כ חשון תשע”ו,אין,4 Tishrei,20 Heshvan 5776,1 Heshvan,20 Heshvan 5776,None,vegetable,4 Tishrei 5775,20 Heshvan 5776,1 Heshvan 5775,20 Heshvan 5776,None
שעונית – פסיפלורה,Passion fruit,ד תשרי,סוף טבת תשע”ו,אין,אין,"ראה”ש תשע""ו",4 Tishrei,End Tevet 5776,None,None,Rosh Hashana 5776,fruit,4 Tishrei 5775,21 Tevet 5776,None,None,3 Tishrei 5776
שעועית – בתרמיל,"Beans – common, in pods",ד תשרי,י כסלו תשע”ו,י כסלו,י כסלו תשע”ו,אין,4 Tishrei,10 Kislev 5776,10 Kislev,10 Kislev 5776,None,vegetable,4 Tishrei 5775,10 Kislev 5776,10 Kislev 5775,10 Kislev 5776,None
שעועית – יבשה,"Beans – common, dry",אין,אין,אין,אין,אין,None,None,None,None,None,vegetable,None,None,None,None,None
שעורה,Barley,א תמוז,א תמוז תשע”ו,א תמוז,א תמוז תשע”ו,אמצע כסלו תשע”ו,1 Tammuz,1 Tammuz 5776,1 Tammuz,1 Tammuz 5776,Mid Kislev 5776,vegetable,1 Tammuz 5775,1 Tammuz 5776,1 Tammuz 5775,1 Tammuz 5776,11 Kislev 5776
תות שדה,Strawberry,טז חשון,חנוכה תשע”ו,ה כסלו,חנוכה תשע”ו,יב תמוז תשע”ה,16 Heshvan,Hanukah 5776,5 Kislev,Hanukah 5776,12 Tammuz (5775),vegetable,16 Heshvan 5775,25 Kislev 5776,5 Kislev 5775,Hanukah 5776,12 Tammuz 5775
תירס,Corn,יא תשרי,חנוכה תשע”ו,יא תשרי,חנוכה תשע”ו,אין,11 Tishrei,Hanukah 5776,11 Tishrei,Hanukah 5776,None,vegetable,11 Tishrei 5775,25 Kislev 5776,11 Tishrei 5775,Hanukah 5776,None
תפוח אדמה,Potato,ג כסלו,א טבת תשע”ו,א טבת,א טבת תשע”ו,א אב תשע”ה,3 Kislev,1 Tevet 5776,1 Tevet,1 Tevet 5776,1 Av (5775),vegetable,3 Kislev 5775,1 Tevet 5776,1 Tevet 5775,1 Tevet 5776,1 Av 5775
תרד,Spinach,ד תשרי,ה כסלו תשע”ו,א כסלו,ה כסלו תשע”ו,אין,4 Tishrei,5 Kislev 5776,1 Kislev,5 Kislev 5776,None,vegetable,4 Tishrei 5775,5 Kislev 5776,1 Kislev 5775,5 Kislev 5776,None
אבוקדו,Avocado,תמוז,תמוז תשע”ו,אין,אין,תמוז תשע”ו,Tammuz,Tammuz 5776,None,None,Tammuz 5776,vegetable,1 Tammuz 5775,28 Tammuz 5776,None,None,1 Tammuz 5776
אגוז לוז (אילסר),Hazelnut,אין,אין,אין,אין,אין,None,None,None,None,None,fruit,None,None,None,None,None
אגוז מלך,Walnut,אין,אין,אין,אין,אין,None,None,None,None,None,fruit,None,None,None,None,None
אגוז מקדמיה,Macadamia nut,אלול,אלול תשע”ו,אין,אין,אדר תשע”ו,Elul,Elul 5776,None,None,Adar 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Adar 5776
אגוז פיסתוק,Pistachio,אין,אין,אין,אין,אין,None,None,None,None,None,fruit,None,None,None,None,None
אגוז פקאן,Pecan,תשרי תשע”ו,תשרי תשע”ז,אין,אין,אדר תשע”ו,Tishrei 5776,Tishrei 5777,None,None,Adar 5776,fruit,1 Tishrei 5776,1 Tishrei 5777,None,None,1 Adar 5776
אגוז קשיו,Cashew,אין,אין,אין,אין,אין,None,None,None,None,None,fruit,None,None,None,None,None
אגס,Pear,תמוז,תמוז תשע”ו,אין,אין,חשון תשע”ו,Tammuz,Tammuz 5776,None,None,Heshvan 5776,fruit,1 Tammuz 5775,28 Tammuz 5776,None,None,1 Heshvan 5776
אוכמניות,Blueberry,טבת,טבת תשע”ו,אין,אין,ניסן תשע”ו,Tevet,Tevet 5776,None,None,Nissan 5776,fruit,1 Tevet 5775,28 Tevet 5776,None,None,1 Nissan 5776
אנונה,Chirimuya,אב,אב תשע”ו,אין,אין,שבט תשע”ו,Av,Av 5776,None,None,Shvat 5776,fruit,1 Av 5775,28 Av 5776,None,None,1 Shvat 5776
אפרסמון,Persimmon,אלול,אלול תשע”ו,אין,אין,שבט תשע”ו,Elul,Elul 5776,None,None,Shvat 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Shvat 5776
אפרסק,Peach,אדר,אדר תשע”ו,אין,אין,כסלו תשע”ו,Adar,Adar 5776,None,None,Kislev 5776,fruit,1 Adar 5775,28 Adar 5776,None,None,1 Kislev 5776
אשכולית,Grapefruit,אלול,אלול תשע”ו,אין,אין,סיון תשע”ו,Elul,Elul 5776,None,None,Sivan 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Sivan 5776
אתרוג,Etrog,ד תשרי,אייר תשע”ו,אין,אין,שבט תשע”ו,4 Tishrei,Iyyar 5776,None,None,Shvat 5776,fruit,4 Tishrei 5775,28 Iyyar 5776,None,None,1 Shvat 5776
גודגדן,Sweet cherry,אייר,אייר תשע”ו,אין,אין,אב (תשע”ה),Iyyar,Iyyar 5776,None,None,Av (5775),fruit,1 Iyyar 5775,28 Iyyar 5776,None,None,1 Av 5775
גויאבה,Guava,אב,אב תשע”ו,אין,אין,טבת תשע”ו,Av,Av 5776,None,None,Tevet 5776,fruit,1 Av 5775,28 Av 5776,None,None,1 Tevet 5776
גויאבה תאילנדית,Thai guava,אלול,אלול תשע”ו,אין,אין,שבט תשע”ו,Elul,Elul 5776,None,None,Shvat 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Shvat 5776
דובדבן,Cherry,אייר,אייר תשע”ו,אין,אין,אב (תשע”ה),Iyyar,Iyyar 5776,None,None,Av (5775),fruit,1 Iyyar 5775,28 Iyyar 5776,None,None,1 Av 5775
זית מאכל,Olive (whole),אב,אב תשע”ו,אין,אין,שבועות תשע”ו,Av,Av 5776,None,None,Shavuot 5776,fruit,1 Av 5775,28 Av 5776,None,None,6 Sivan 5776
זית – שמן זית,Olive oil,תשרי תשע”ו,תשרי תשע”ז,אין,אין,שבועות תשע”ו,Tishrei 5776,Tishrei 5777,None,None,Shavuot 5776,fruit,1 Tishrei 5776,28 Tishrei 5777,None,None,6 Sivan 5776
חבוש,Quince,אב,אב תשע”ו,אין,אין,טבת תשע”ו,Av,Av 5776,None,None,Tevet 5776,fruit,1 Av 5775,28 Av 5776,None,None,1 Tevet 5776
חרוב,Carob,אלול,אלול תשע”ו,אין,אין,טבת תשע”ו,Elul,Elul 5776,None,None,Tevet 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Tevet 5776
לונגן,Longan,סיון,סיון תשע”ו,אין,אין,אב (תשע”ה),Sivan,Sivan 5776,None,None,Av (5775),fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Av 5775
ליטשי,Lychee,סיון,סיון תשע”ו,אין,אין,אב (תשע”ה),Sivan,Sivan 5776,None,None,Av (5775),fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Av 5775
